2768981	11162671
2768782	11162803
2768599	11162939
2768382	11163076
2768200	11163211
2767985	11163346
2767779	11163484
2767606	11163619
2767385	11163756
2767205	11163891
2766990	11164026
2766779	11164164
2766607	11164300
2766384	11164437
2766207	11164572
2765985	11164710
2765813	11164844
2765596	11164979
2765380	11165116
2765212	11165252
2764995	11165387
2764792	11165522
2764590	11165654
2764411	11165792
2764214	11165925
2763997	11166064
2763819	11166199
2763597	11166337
2763420	11166472
2763203	11166607
2762998	11166742
2762789	11166880
2762626	11167015
2762408	11167147
2762216	11167285
2762017	11167423
2761821	11167558
2761601	11167695
2761423	11167833
2761219	11167968
2761013	11168103
2760796	11168241
2760630	11168376
2760411	11168511
2760206	11168646
2759993	11168783
2759832	11168919
2759607	11169056
2759432	11169191
2759214	11169326
2759010	11169461
2758806	11169596
2758600	11169734
2758437	11169869
2758219	11170001
2758030	11170139
2757836	11170274
2757626	11170406
2757436	11170545
2757235	11170680
2757020	11170816
2756842	11170952
2756629	11171084
2756443	11171220
2756217	11171357
2756040	11171495
2755840	11171629
2755627	11171764
2755417	11171899
2755215	11172036
2755043	11172174
2754842	11172310
2754637	11172442
2754453	11172577
2754232	11172712
2754015	11172850
2753852	11172985
2753632	11173122
2753455	11173257
2753231	11173395
2753055	11173531
2752838	11173665
2752628	11173803
2752456	11173938
2752238	11174073
2752030	11174211
2751858	11174345
2751642	11174480
2751440	11174615
2751230	11174750
2751024	11174888
2750860	11175023
2750640	11175158
2750444	11175293
2750233	11175428
2750030	11175566
2749864	11175701
2749647	11175836
2749441	11175974
2749269	11176109
2749051	11176243
2748840	11176381
2748670	11176516
2748453	11176651
2748240	11176789
2748066	11176927
2747867	11177062
2747655	11177196
2747442	11177332
2747251	11177464
2747072	11177600
2746853	11177737
2746671	11177872
2746457	11178007
2746247	11178145
2746076	11178279
2745861	11178414
2745652	11178549
2745449	11178687
2745280	11178822
2745063	11178957
2744853	11179095
2744679	11179231
2744465	11179365
2744256	11179502
2744083	11179638
2743860	11179775
2743678	11179913
2743480	11180048
2743274	11180180
2743083	11180316
2742869	11180450
2742654	11180588
2742489	11180723
2742275	11180855
2742085	11180990
2741875	11181125
2741665	11181257
2741482	11181395
2741287	11181531
2741072	11181665
2740859	11181800
2740661	11181938
2740492	11182073
2740273	11182211
2740093	11182346
2739878	11182480
2739689	11182618
2739494	11182753
2739280	11182888
2739065	11183025
2738899	11183161
2738673	11183299
2738497	11183434
2738277	11183572
2738095	11183709
2737893	11183845
2737687	11183981
2737473	11184119
2737303	11184254
2737083	11184392
2736905	11184527
2736683	11184665
2736506	11184801
2736290	11184935
2736080	11185073
2735911	11185207
2735692	11185342
2735484	11185477
2735278	11185616
2735112	11185751
2734888	11185888
2734710	11186023
2734497	11186155
2734307	11186293
2734111	11186428
2733893	11186563
2733682	11186701
2733513	11186836
2733289	11186973
2733117	11187108
2732892	11187246
2732716	11187382
2732495	11187519
2732318	11187654
2732106	11187786
2731912	11187924
2731716	11188060
2731496	11188197
2731321	11188333
2731097	11188470
2730918	11188607
2730715	11188742
2730504	11188879
2730324	11189015
2730112	11189147
2729919	11189285
2729724	11189420
2729504	11189558
2729329	11189692
2729112	11189827
2728897	11189965
2728729	11190100
2728509	11190238
2728330	11190373
2728117	11190505
2727926	11190644
2727730	11190777
2727524	11190915
2727331	11191051
2727116	11191185
2726906	11191323
2726737	11191458
2726525	11191590
2726332	11191729
2726136	11191864
2725922	11191998
2725708	11192136
2725543	11192271
2725325	11192406
2725123	11192538
2724945	11192673
2724728	11192808
2724537	11192946
2724343	11193081
2724126	11193216
2723918	11193348
2723737	11193486
2723540	11193623
2723346	11193758
2723124	11193896
2722950	11194031
2722734	11194166
2722525	11194301
2722319	11194439
2722152	11194575
2721933	11194711
2721752	11194847
2721531	11194984
2721355	11195119
2721140	11195251
2720950	11195389
2720751	11195525
2720534	11195662
2720360	11195797
2720141	11195932
2719935	11196064
2719757	11196199
2719541	11196337
2719361	11196473
2719139	11196610
2718964	11196745
2718739	11196882
2718565	11197018
2718341	11197155
2718164	11197290
2717945	11197426
2717767	11197560
2717551	11197695
2717344	11197830
2717133	11197968
2716972	11198103
2716755	11198235
2716568	11198370
2716356	11198505
2716147	11198640
2715946	11198775
2715734	11198913
2715573	11199048
2715353	11199186
2715176	11199320
2714961	11199453
2714777	11199588
2714564	11199720
2714375	11199859
2714178	11199993
2713963	11200128
2713759	11200260
2713581	11200395
2713362	11200532
2713183	11200667
2712964	11200805
2712789	11200940
2712564	11201078
2712390	11201213
