waveform	[0]	[1]	[2]
t0	29/08/2006  14:26:25	29/08/2006  14:26:25	29/08/2006  14:26:25
delta t	0.010000	0.010000	0.010000

time	Y[0]	Y[1]	Y[2]
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.145901E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.288883E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.336544E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.288883E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.288883E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.288883E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.288883E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.288883E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.241222E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.145901E-1
29/08/2006  14:26:25	9.291297E-4	3.240847E-4	-2.193561E-1
