LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	LHRI
Date	2006/09/18
Time	12:14:00.614999
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	2006/09/18	
Time	12:14:00.614999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	0.010000	
***End_of_Header***		
X_Value	Wrist Extensors	Comment
2.980000	14.034034
2.990000	14.014014
3.000000	13.993994
3.010000	13.973974
3.020000	13.953954
3.030000	13.933934
3.040000	13.913914
3.050000	13.893894
3.060000	13.873874
3.070000	13.853854
3.080000	13.833834
3.090000	13.813814
3.100000	13.793794
3.110000	13.773774
3.120000	13.753754
3.130000	13.733734
3.140000	13.713714
3.150000	13.693694
3.160000	13.673674
3.170000	13.653654
3.180000	13.633634
3.190000	13.613614
3.200000	13.593594
3.210000	13.573574
3.220000	13.553554
3.230000	13.533534
3.240000	13.513514
3.250000	13.493493
3.260000	13.473473
3.270000	13.453453
3.280000	13.433433
3.290000	13.413413
3.300000	13.393393
3.310000	13.373373
3.320000	13.353353
3.330000	13.333333
3.340000	13.313313
3.350000	13.293293
3.360000	13.273273
3.370000	13.253253
3.380000	13.233233
3.390000	13.213213
3.400000	13.193193
3.410000	13.173173
3.420000	13.153153
3.430000	13.133133
3.440000	13.113113
3.450000	13.093093
3.460000	13.073073
3.470000	13.053053
3.480000	13.033033
3.490000	13.013013
3.500000	12.992993
3.510000	12.972973
3.520000	12.952953
3.530000	12.932933
3.540000	12.912913
3.550000	12.892893
3.560000	12.872873
3.570000	12.852853
3.580000	12.832833
3.590000	12.812813
3.600000	12.792793
3.610000	12.772773
3.620000	12.752753
3.630000	12.732733
3.640000	12.712713
3.650000	12.692693
3.660000	12.672673
3.670000	12.652653
3.680000	12.632633
3.690000	12.612613
3.700000	12.592593
3.710000	12.572573
3.720000	12.552553
3.730000	12.532533
3.740000	12.512513
3.750000	12.492492
3.760000	12.472472
3.770000	12.452452
3.780000	12.432432
3.790000	12.412412
3.800000	12.392392
3.810000	12.372372
3.820000	12.352352
3.830000	12.332332
3.840000	12.312312
3.850000	12.292292
3.860000	12.272272
3.870000	12.252252
3.880000	12.232232
3.890000	12.212212
3.900000	12.192192
3.910000	12.172172
3.920000	12.152152
3.930000	12.132132
3.940000	12.112112
3.950000	12.092092
3.960000	12.072072
3.970000	12.052052
3.980000	12.032032
3.990000	12.012012
4.000000	11.991992
4.010000	11.971972
4.020000	11.951952
4.030000	11.931932
4.040000	11.911912
4.050000	11.891892
4.060000	11.871872
4.070000	11.851852
4.080000	11.831832
4.090000	11.811812
4.100000	11.791792
4.110000	11.771772
4.120000	11.751752
4.130000	11.731732
4.140000	11.711712
4.150000	11.691692
4.160000	11.671672
4.170000	11.651652
4.180000	11.631632
4.190000	11.611612
4.200000	11.591592
4.210000	11.571572
4.220000	11.551552
4.230000	11.531532
4.240000	11.511512
4.250000	11.491491
4.260000	11.471471
4.270000	11.451451
4.280000	11.431431
4.290000	11.411411
4.300000	11.391391
4.310000	11.371371
4.320000	11.351351
4.330000	11.331331
4.340000	11.311311
4.350000	11.291291
4.360000	11.271271
4.370000	11.251251
4.380000	11.231231
4.390000	11.211211
4.400000	11.191191
4.410000	11.171171
4.420000	11.151151
4.430000	11.131131
4.440000	11.111111
4.450000	11.091091
4.460000	11.071071
4.470000	11.051051
4.480000	11.031031
4.490000	11.011011
4.500000	10.990991
4.510000	10.970971
4.520000	10.950951
4.530000	10.930931
4.540000	10.910911
4.550000	10.890891
4.560000	10.870871
4.570000	10.850851
4.580000	10.830831
4.590000	10.810811
4.600000	10.790791
4.610000	10.770771
4.620000	10.750751
4.630000	10.730731
4.640000	10.710711
4.650000	10.690691
4.660000	10.670671
4.670000	10.650651
4.680000	10.630631
4.690000	10.610611
4.700000	10.590591
4.710000	10.570571
4.720000	10.550551
4.730000	10.530531
4.740000	10.510511
4.750000	10.490490
4.760000	10.470470
4.770000	10.450450
4.780000	10.430430
4.790000	10.410410
4.800000	10.390390
4.810000	10.370370
4.820000	10.350350
4.830000	10.330330
4.840000	10.310310
4.850000	10.290290
4.860000	10.270270
4.870000	10.250250
4.880000	10.230230
4.890000	10.210210
4.900000	10.190190
4.910000	10.170170
4.920000	10.150150
4.930000	10.130130
4.940000	10.110110
4.950000	10.090090
4.960000	10.070070
4.970000	10.050050
4.980000	10.030030
4.990000	10.010010
5.000000	9.989990
5.010000	9.969970
5.020000	9.949950
5.030000	9.929930
5.040000	9.909910
5.050000	9.889890
5.060000	9.869870
5.070000	9.849850
5.080000	9.829830
5.090000	9.809810
5.100000	9.789790
5.110000	9.769770
5.120000	9.749750
5.130000	9.729730
5.140000	9.709710
5.150000	9.689690
5.160000	9.669670
5.170000	9.649650
5.180000	9.629630
5.190000	9.609610
5.200000	9.589590
5.210000	9.569570
5.220000	9.549550
5.230000	9.529530
5.240000	9.509510
5.250000	9.489489
5.260000	9.469469
5.270000	9.449449
5.280000	9.429429
5.290000	9.409409
5.300000	9.389389
5.310000	9.369369
5.320000	9.349349
5.330000	9.329329
5.340000	9.309309
5.350000	9.289289
5.360000	9.269269
5.370000	9.249249
5.380000	9.229229
5.390000	9.209209
5.400000	9.189189
5.410000	9.169169
5.420000	9.149149
5.430000	9.129129
5.440000	9.109109
5.450000	9.089089
5.460000	9.069069
5.470000	9.049049
5.480000	9.029029
5.490000	9.009009
5.500000	8.988989
5.510000	8.968969
5.520000	8.948949
5.530000	8.928929
5.540000	8.908909
5.550000	8.888889
5.560000	8.868869
5.570000	8.848849
5.580000	8.828829
5.590000	8.808809
5.600000	8.788789
5.610000	8.768769
5.620000	8.748749
5.630000	8.728729
5.640000	8.708709
5.650000	8.688689
5.660000	8.668669
5.670000	8.648649
5.680000	8.628629
5.690000	8.608609
5.700000	8.588589
5.710000	8.568569
5.720000	8.548549
5.730000	8.528529
5.740000	8.508509
5.750000	8.488488
5.760000	8.468468
5.770000	8.448448
5.780000	8.428428
5.790000	8.408408
5.800000	8.388388
5.810000	8.368368
5.820000	8.348348
5.830000	8.328328
5.840000	8.308308
5.850000	8.288288
5.860000	8.268268
5.870000	8.248248
5.880000	8.228228
5.890000	8.208208
5.900000	8.188188
5.910000	8.168168
5.920000	8.148148
5.930000	8.128128
5.940000	8.108108
5.950000	8.088088
5.960000	8.068068
5.970000	8.048048
5.980000	8.028028
5.990000	8.008008
6.000000	7.987988
6.010000	7.967968
6.020000	7.947948
6.030000	7.927928
6.040000	7.907908
6.050000	7.887888
6.060000	7.867868
6.070000	7.847848
6.080000	7.827828
6.090000	7.807808
6.100000	7.787788
6.110000	7.767768
6.120000	7.747748
6.130000	7.727728
6.140000	7.707708
6.150000	7.687688
6.160000	7.667668
6.170000	7.647648
6.180000	7.627628
6.190000	7.607608
6.200000	7.587588
6.210000	7.567568
6.220000	7.547548
6.230000	7.527528
6.240000	7.507508
6.250000	7.487487
6.260000	7.467467
6.270000	7.447447
6.280000	7.427427
6.290000	7.407407
6.300000	7.387387
6.310000	7.367367
6.320000	7.347347
6.330000	7.327327
6.340000	7.307307
6.350000	7.287287
6.360000	7.267267
6.370000	7.247247
6.380000	7.227227
6.390000	7.207207
6.400000	7.187187
6.410000	7.167167
6.420000	7.147147
6.430000	7.127127
6.440000	7.107107
6.450000	7.087087
6.460000	7.067067
6.470000	7.047047
6.480000	7.027027
6.490000	7.007007
6.500000	6.986987
6.510000	6.966967
6.520000	6.946947
6.530000	6.926927
6.540000	6.906907
6.550000	6.886887
6.560000	6.866867
6.570000	6.846847
6.580000	6.826827
6.590000	6.806807
6.600000	6.786787
6.610000	6.766767
6.620000	6.746747
6.630000	6.726727
6.640000	6.706707
6.650000	6.686687
6.660000	6.666667
6.670000	6.646647
6.680000	6.626627
6.690000	6.606607
6.700000	6.586587
6.710000	6.566567
6.720000	6.546547
6.730000	6.526527
6.740000	6.506507
6.750000	6.486486
6.760000	6.466466
6.770000	6.446446
6.780000	6.426426
6.790000	6.406406
6.800000	6.386386
6.810000	6.366366
6.820000	6.346346
6.830000	6.326326
6.840000	6.306306
6.850000	6.286286
6.860000	6.266266
6.870000	6.246246
6.880000	6.226226
6.890000	6.206206
6.900000	6.186186
6.910000	6.166166
6.920000	6.146146
6.930000	6.126126
6.940000	6.106106
6.950000	6.086086
6.960000	6.066066
6.970000	6.046046
6.980000	6.026026
6.990000	6.006006
7.000000	5.985986
7.010000	5.965966
7.020000	5.945946
7.030000	5.925926
7.040000	5.905906
7.050000	5.885886
7.060000	5.865866
7.070000	5.845846
7.080000	5.825826
7.090000	5.805806
7.100000	5.785786
7.110000	5.765766
7.120000	5.745746
7.130000	5.725726
7.140000	5.705706
7.150000	5.685686
7.160000	5.665666
7.170000	5.645646
7.180000	5.625626
7.190000	5.605606
7.200000	5.585586
7.210000	5.565566
7.220000	5.545546
7.230000	5.525526
7.240000	5.505506
7.250000	5.485485
7.260000	5.465465
7.270000	5.445445
7.280000	5.425425
7.290000	5.405405
7.300000	5.385385
7.310000	5.365365
7.320000	5.345345
7.330000	5.325325
7.340000	5.305305
7.350000	5.285285
7.360000	5.265265
7.370000	5.245245
7.380000	5.225225
7.390000	5.205205
7.400000	5.185185
7.410000	5.165165
7.420000	5.145145
7.430000	5.125125
7.440000	5.105105
7.450000	5.085085
7.460000	5.065065
7.470000	5.045045
7.480000	5.025025
7.490000	5.005005
7.500000	4.984985
7.510000	4.964965
7.520000	4.944945
7.530000	4.924925
7.540000	4.904905
7.550000	4.884885
7.560000	4.864865
7.570000	4.844845
7.580000	4.824825
7.590000	4.804805
7.600000	4.784785
7.610000	4.764765
7.620000	4.744745
7.630000	4.724725
7.640000	4.704705
7.650000	4.684685
7.660000	4.664665
7.670000	4.644645
7.680000	4.624625
7.690000	4.604605
7.700000	4.584585
7.710000	4.564565
7.720000	4.544545
7.730000	4.524525
7.740000	4.504505
7.750000	4.484484
7.760000	4.464464
7.770000	4.444444
7.780000	4.424424
7.790000	4.404404
7.800000	4.384384
7.810000	4.364364
7.820000	4.344344
7.830000	4.324324
7.840000	4.304304
7.850000	4.284284
7.860000	4.264264
