1.000	8.908	6.421	-2.808	-121.778	-83.063	20.162
2.000	11.558	4.179	-11.527	-80.012	6.364	83.504
3.000	11.351	-2.821	-10.613	-122.214	-9.160	157.374
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.567	4.184	-11.549	-80.144	6.561	83.381
3.000	11.365	-2.817	-10.666	-122.282	-9.011	157.086
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.584	4.184	-11.571	-80.347	6.807	83.292
3.000	11.391	-2.817	-10.723	-122.126	-9.641	156.035
1.000	8.908	6.421	-2.808	-121.691	-83.086	20.038
2.000	11.598	4.197	-11.589	-80.619	7.124	83.848
3.000	11.413	-2.835	-10.820	-121.117	-13.218	152.400
1.000	8.908	6.421	-2.808	-121.691	-83.086	20.038
2.000	11.593	4.197	-11.606	-80.761	6.786	84.780
3.000	11.479	-2.777	-10.815	-120.444	-14.393	151.939
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.580	4.214	-11.611	-80.852	6.089	86.093
3.000	11.536	-2.764	-10.754	-119.759	-16.233	150.739
1.000	8.908	6.421	-2.808	-121.778	-83.063	20.162
2.000	11.562	4.214	-11.589	-80.855	5.471	87.484
3.000	11.540	-2.795	-10.785	-118.976	-18.666	148.506
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.527	4.214	-11.545	-80.926	5.028	88.764
3.000	11.598	-2.764	-10.771	-118.172	-20.174	147.019
1.000	8.908	6.421	-2.808	-121.531	-83.082	19.854
2.000	11.492	4.188	-11.514	-81.131	4.537	89.775
3.000	11.619	-2.755	-10.754	-117.425	-21.921	145.250
1.000	8.908	6.421	-2.808	-121.531	-83.082	19.854
2.000	11.461	4.184	-11.470	-81.335	4.053	90.821
3.000	11.624	-2.773	-10.754	-116.342	-24.331	142.545
1.000	8.908	6.421	-2.808	-121.531	-83.082	19.854
2.000	11.431	4.197	-11.400	-81.532	3.541	92.412
3.000	11.663	-2.751	-10.776	-115.018	-26.372	140.113
1.000	8.908	6.421	-2.808	-121.551	-83.072	19.943
2.000	11.404	4.214	-11.329	-81.493	3.037	94.059
3.000	11.716	-2.716	-10.771	-113.986	-27.821	138.604
1.000	8.908	6.421	-2.808	-121.551	-83.072	19.943
2.000	11.387	4.210	-11.299	-81.505	2.449	95.427
3.000	11.756	-2.725	-10.758	-113.098	-29.384	137.254
1.000	8.908	6.421	-2.808	-121.551	-83.072	19.943
2.000	11.373	4.228	-11.237	-81.367	1.903	97.179
3.000	11.804	-2.716	-10.741	-112.387	-30.571	136.310
1.000	8.908	6.421	-2.808	-121.551	-83.072	19.943
2.000	11.334	4.197	-11.198	-81.314	1.217	98.765
3.000	11.804	-2.725	-10.763	-111.612	-31.676	135.099
1.000	8.908	6.421	-2.808	-121.661	-83.081	20.038
2.000	11.299	4.206	-11.176	-81.278	0.888	100.192
3.000	11.822	-2.729	-10.776	-110.987	-32.600	134.149
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.277	4.201	-11.136	-81.201	0.490	101.995
3.000	11.852	-2.725	-10.780	-110.574	-33.195	133.593
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.259	4.179	-11.114	-81.266	0.056	103.636
3.000	11.866	-2.729	-10.789	-110.140	-33.873	132.974
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.242	4.149	-11.119	-81.400	-0.434	105.042
3.000	11.861	-2.755	-10.811	-109.701	-34.830	132.101
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.206	4.135	-11.123	-81.483	-0.902	106.842
3.000	11.866	-2.777	-10.850	-109.161	-35.815	131.105
1.000	8.908	6.421	-2.808	-121.691	-83.086	20.038
2.000	11.171	4.153	-11.083	-81.461	-1.301	109.349
3.000	11.870	-2.773	-10.877	-108.498	-36.766	130.073
1.000	8.908	6.421	-2.808	-121.771	-83.089	20.167
2.000	11.119	4.162	-11.053	-81.452	-1.763	111.645
3.000	11.888	-2.777	-10.899	-107.954	-37.763	129.202
1.000	8.908	6.421	-2.808	-121.691	-83.086	20.038
2.000	11.079	4.140	-11.048	-81.612	-2.365	113.881
3.000	11.896	-2.773	-10.908	-107.496	-38.520	128.575
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	11.022	4.131	-11.035	-81.702	-2.799	116.161
3.000	11.888	-2.786	-10.934	-106.996	-39.364	127.699
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	10.991	4.166	-11.000	-81.613	-3.142	118.548
3.000	11.892	-2.799	-10.965	-106.459	-40.231	126.866
1.000	8.908	6.421	-2.808	-121.710	-83.077	20.093
2.000	10.947	4.166	-10.982	-81.664	-3.787	121.144
3.000	11.896	-2.791	-11.000	-105.703	-41.204	125.782
1.000	8.908	6.421	-2.808	-121.778	-83.063	20.162
2.000	10.894	4.175	-10.991	-81.701	-4.236	123.104
3.000	11.905	-2.791	-11.035	-105.254	-41.954	125.052
1.000	8.908	6.421	-2.808	-121.839	-83.076	20.202
2.000	10.837	4.171	-10.969	-81.861	-4.635	125.397
3.000	11.901	-2.813	-11.061	-104.975	-42.642	124.373
1.000	8.908	6.421	-2.808	-121.778	-83.063	20.162
2.000	10.767	4.153	-10.965	-82.061	-5.078	127.585
